Dictionary for log(g) = 0.0
13000.0  3.5  0.980  1.158  0.665
14000.0  3.5  0.984  1.163  0.667
15000.0  3.5  0.989  1.167  0.666
16000.0  3.5  0.991  1.172  0.668
17000.0  3.5  0.995  1.175  0.668
18000.0  3.5  0.998  1.178  0.669
19000.0  3.5  1.001  1.182  0.669
20000.0  3.5  1.003  1.185  0.671
21000.0  3.5  1.005  1.188  0.671
22000.0  3.5  1.008  1.190  0.671
23000.0  3.5  1.009  1.194  0.671
24000.0  3.5  1.011  1.196  0.672
25000.0  3.5  1.012  1.198  0.672
26000.0  3.5  1.015  1.200  0.673
27000.0  3.5  1.017  1.202  0.672
28000.0  3.5  1.018  1.205  0.673
29000.0  3.5  1.020  1.206  0.673
30000.0  3.5  1.020  1.208  0.674
31000.0  3.5  1.020  1.209  0.674

Dictionary for log(g) = 4.0
3500.0  4.0  0.677  0.997  0.584
3750.0  4.0  0.710  0.991  0.600
4000.0  4.0  0.739  0.991  0.615
4250.0  4.0  0.763  0.999  0.625
4500.0  4.0  0.780  1.009  0.630
4750.0  4.0  0.794  1.019  0.634
5000.0  4.0  0.807  1.029  0.637
5250.0  4.0  0.820  1.039  0.639
5500.0  4.0  0.831  1.049  0.641
5750.0  4.0  0.843  1.058  0.644
6000.0  4.0  0.853  1.067  0.645
6250.0  4.0  0.864  1.075  0.647
6500.0  4.0  0.874  1.082  0.649
6750.0  4.0  0.883  1.087  0.650
7000.0  4.0  0.892  1.093  0.652
7250.0  4.0  0.901  1.098  0.653
7500.0  4.0  0.909  1.102  0.654
7750.0  4.0  0.917  1.106  0.655
8000.0  4.0  0.924  1.111  0.656
8250.0  4.0  0.933  1.115  0.657
8500.0  4.0  0.939  1.120  0.658
8750.0  4.0  0.945  1.123  0.659
9000.0  4.0  0.949  1.126  0.660
9250.0  4.0  0.954  1.129  0.660
9500.0  4.0  0.957  1.132  0.661
9750.0  4.0  0.960  1.135  0.661
10000.0  4.0  0.963  1.136  0.661
10250.0  4.0  0.965  1.138  0.662
10500.0  4.0  0.967  1.141  0.662
10750.0  4.0  0.969  1.142  0.662
11000.0  4.0  0.970  1.145  0.663
11250.0  4.0  0.972  1.146  0.663
11500.0  4.0  0.973  1.147  0.664
11750.0  4.0  0.975  1.149  0.664
12000.0  4.0  0.976  1.150  0.665
12250.0  4.0  0.977  1.153  0.665
12500.0  4.0  0.978  1.154  0.665
12750.0  4.0  0.980  1.155  0.665
13000.0  4.0  0.980  1.157  0.665
14000.0  4.0  0.984  1.162  0.666
15000.0  4.0  0.988  1.166  0.667
16000.0  4.0  0.992  1.171  0.668
17000.0  4.0  0.994  1.174  0.668
18000.0  4.0  0.998  1.177  0.669
19000.0  4.0  1.000  1.181  0.670
20000.0  4.0  1.003  1.183  0.670
21000.0  4.0  1.005  1.187  0.671
22000.0  4.0  1.008  1.189  0.671
23000.0  4.0  1.009  1.192  0.671
24000.0  4.0  1.011  1.194  0.672
25000.0  4.0  1.013  1.196  0.672
26000.0  4.0  1.014  1.199  0.673
27000.0  4.0  1.017  1.201  0.673
28000.0  4.0  1.018  1.203  0.673
29000.0  4.0  1.020  1.204  0.673
30000.0  4.0  1.021  1.206  0.673
31000.0  4.0  1.022  1.208  0.674
32000.0  4.0  1.024  1.210  0.674
33000.0  4.0  1.024  1.211  0.675
34000.0  4.0  1.024  1.212  0.675
35000.0  4.0  1.024  1.212  0.675
36000.0  4.0  1.025  1.214  0.674
37000.0  4.0  1.025  1.214  0.674
38000.0  4.0  1.026  1.214  0.675
39000.0  4.0  1.026  1.215  0.675

Dictionary for log(g) = 4.5
3500.0  4.5  0.684  0.993  0.588
3750.0  4.5  0.712  0.991  0.602
4000.0  4.5  0.738  0.991  0.615
4250.0  4.5  0.760  0.998  0.625
4500.0  4.5  0.778  1.009  0.631
4750.0  4.5  0.793  1.019  0.633
5000.0  4.5  0.808  1.029  0.637
5250.0  4.5  0.820  1.039  0.639
5500.0  4.5  0.830  1.048  0.641
5750.0  4.5  0.842  1.058  0.643
6000.0  4.5  0.853  1.067  0.645
6250.0  4.5  0.862  1.074  0.647
6500.0  4.5  0.873  1.082  0.648
6750.0  4.5  0.881  1.088  0.649
7000.0  4.5  0.889  1.093  0.651
7250.0  4.5  0.897  1.098  0.652
7500.0  4.5  0.905  1.102  0.654
7750.0  4.5  0.913  1.106  0.655
8000.0  4.5  0.921  1.109  0.657
8250.0  4.5  0.927  1.113  0.657
8500.0  4.5  0.935  1.116  0.658
8750.0  4.5  0.941  1.121  0.659
9000.0  4.5  0.946  1.124  0.660
9250.0  4.5  0.950  1.127  0.660
9500.0  4.5  0.954  1.130  0.661
9750.0  4.5  0.957  1.133  0.661
10000.0  4.5  0.960  1.134  0.661
10250.0  4.5  0.963  1.137  0.662
10500.0  4.5  0.965  1.139  0.663
10750.0  4.5  0.967  1.141  0.663
11000.0  4.5  0.969  1.142  0.663
11250.0  4.5  0.971  1.144  0.663
11500.0  4.5  0.973  1.146  0.664
