RA                Dec             plx        eplx       pmra       epmra      pmdec      epmdec     gmag      egmag       bpmag     ebpmag     rpmag      erpmag #
139.025085449  -36.578788757     0.2681     0.0682    -4.5050     0.0890     4.3770     0.1060    16.8812     0.0007    17.2344     0.0067    16.3628     0.0041
138.945159912  -36.640357971     0.2515     0.0238    -4.3240     0.0310     4.5000     0.0370    14.3880     0.0003    14.5688     0.0011    14.0762     0.0018
139.052536011  -36.661647797     0.2948     0.0191    -4.4540     0.0240     4.5780     0.0280    13.5675     0.0002    14.1256     0.0011    12.8738     0.0011
139.030563354  -36.579978943     0.2907     0.0284    -4.3910     0.0380     4.5110     0.0470    15.1704     0.0003    15.3626     0.0024    14.8392     0.0021
138.958419800  -36.660697937     0.2728     0.1186    -4.5430     0.1440     4.6490     0.1910    17.7713     0.0012    18.2220     0.0114    17.1896     0.0097
139.012268066  -36.576229095     0.3041     0.0181    -4.3800     0.0230     4.5690     0.0300    13.4434     0.0002    13.9997     0.0013    12.7482     0.0007
139.063354492  -36.600475311     0.2933     0.0330    -4.4210     0.0420     4.5260     0.0530    15.2534     0.0004    15.5326     0.0018    14.8096     0.0031
138.976654053  -36.579517365     0.3479     0.1647    -4.2000     0.2100     4.4640     0.2390    18.4065     0.0017    18.9163     0.0236    17.7635     0.0157
139.033935547  -36.676490784     0.2120     0.1028    -4.5190     0.1310     4.4200     0.1560    17.6127     0.0011    18.0063     0.0166    17.0313     0.0101
138.948608398  -36.598278046     0.3172     0.0347    -4.5770     0.0460     4.5710     0.0530    15.6847     0.0005    15.9362     0.0032    15.2764     0.0019
139.003402710  -36.572376251     0.2192     0.0696    -4.4460     0.0890     4.4930     0.1020    16.9103     0.0007    17.2618     0.0069    16.3910     0.0035
138.993911743  -36.680896759     0.3590     0.1005    -4.5470     0.1280     4.5350     0.1480    17.4722     0.0010    17.7964     0.0167    16.7604     0.0235
138.985382080  -36.680984497     0.2799     0.0189    -4.6460     0.0240     4.4170     0.0270    13.2729     0.0002    13.8422     0.0011    12.5692     0.0007
