Teff log(g) logZ  L=Teff^4/g   A218     L/A218  A218(i)/A218(i-1) L/A218(i)/L/A218(i-1) 
7750.0  3.5 -2.0  1.14079e+12  2.87570  3.96701e+11  1.00134e+00  1.13863e+00 
8000.0  3.5 -2.0  1.29527e+12  2.87881  4.49932e+11  1.00108e+00  1.13418e+00 
8250.0  3.5 -2.0  1.46493e+12  2.88171  5.08353e+11  1.00101e+00  1.12984e+00 
8500.0  3.5 -2.0  1.65073e+12  2.88476  5.72224e+11  1.00106e+00  1.12564e+00 
8750.0  3.5 -2.0  1.85367e+12  2.88775  6.41908e+11  1.00104e+00  1.12178e+00 
9000.0  3.5 -2.0  2.07477e+12  2.89062  7.17760e+11  1.00099e+00  1.11817e+00 
9250.0  3.5 -2.0  2.31508e+12  2.89334  8.00143e+11  1.00094e+00  1.11478e+00 
9500.0  3.5 -2.0  2.57569e+12  2.89586  8.89440e+11  1.00087e+00  1.11160e+00 
9750.0  3.5 -2.0  2.85771e+12  2.89822  9.86023e+11  1.00081e+00  1.10859e+00 
10000.0  3.5 -2.0  3.16228e+12  2.90041  1.09029e+12  1.00076e+00  1.10574e+00 
10250.0  3.5 -2.0  3.49056e+12  2.90238  1.20266e+12  1.00068e+00  1.10306e+00 
10500.0  3.5 -2.0  3.84377e+12  2.90420  1.32352e+12  1.00063e+00  1.10050e+00 
10750.0  3.5 -2.0  4.22312e+12  2.90583  1.45333e+12  1.00056e+00  1.09808e+00 
11000.0  3.5 -2.0  4.62989e+12  2.90732  1.59249e+12  1.00051e+00  1.09576e+00 
11250.0  3.5 -2.0  5.06536e+12  2.90867  1.74147e+12  1.00046e+00  1.09355e+00 
11500.0  3.5 -2.0  5.53084e+12  2.90990  1.90070e+12  1.00042e+00  1.09143e+00 
11750.0  3.5 -2.0  6.02770e+12  2.91103  2.07064e+12  1.00039e+00  1.08941e+00 
12000.0  3.5 -2.0  6.55730e+12  2.91206  2.25177e+12  1.00035e+00  1.08748e+00 
12250.0  3.5 -2.0  7.12106e+12  2.91301  2.44457e+12  1.00033e+00  1.08562e+00 
12500.0  3.5 -2.0  7.72040e+12  2.91387  2.64954e+12  1.00030e+00  1.08385e+00 
12750.0  3.5 -2.0  8.35681e+12  2.91468  2.86715e+12  1.00028e+00  1.08213e+00 
13000.0  3.5 -2.0  9.03178e+12  2.91542  3.09793e+12  1.00025e+00  1.08049e+00 
14000.0  3.5 -2.0  1.21482e+13  2.91788  4.16337e+12  1.00084e+00  1.34392e+00 
15000.0  3.5 -2.0  1.60090e+13  2.91978  5.48296e+12  1.00065e+00  1.31695e+00 
16000.0  3.5 -2.0  2.07243e+13  2.92130  7.09421e+12  1.00052e+00  1.29386e+00 
17000.0  3.5 -2.0  2.64117e+13  2.92256  9.03717e+12  1.00043e+00  1.27388e+00 
18000.0  3.5 -2.0  3.31963e+13  2.92366  1.13544e+13  1.00038e+00  1.25641e+00 
19000.0  3.5 -2.0  4.12111e+13  2.92465  1.40910e+13  1.00034e+00  1.24102e+00 
20000.0  3.5 -2.0  5.05964e+13  2.92557  1.72946e+13  1.00031e+00  1.22735e+00 
21000.0  3.5 -2.0  6.15003e+13  2.92645  2.10153e+13  1.00030e+00  1.21514e+00 
22000.0  3.5 -2.0  7.40783e+13  2.92731  2.53059e+13  1.00029e+00  1.20416e+00 
23000.0  3.5 -2.0  8.84935e+13  2.92813  3.02218e+13  1.00028e+00  1.19426e+00 
24000.0  3.5 -2.0  1.04917e+14  2.92891  3.58211e+13  1.00027e+00  1.18527e+00 
25000.0  3.5 -2.0  1.23526e+14  2.92961  4.21648e+13  1.00024e+00  1.17709e+00 
26000.0  3.5 -2.0  1.44508e+14  2.93022  4.93166e+13  1.00021e+00  1.16962e+00 
27000.0  3.5 -2.0  1.68056e+14  2.93063  5.73448e+13  1.00014e+00  1.16279e+00 
28000.0  3.5 -2.0  1.94371e+14  2.93080  6.63202e+13  1.00006e+00  1.15652e+00 
29000.0  3.5 -2.0  2.23662e+14  2.93072  7.63164e+13  9.99973e-01  1.15073e+00 
30000.0  3.5 -2.0  2.56144e+14  2.93047  8.74073e+13  9.99915e-01  1.14533e+00 
31000.0  3.5 -2.0  2.92043e+14  2.93014  9.96686e+13  9.99887e-01  1.14028e+00 
4500.0  3.5  0.0  1.29673e+11  1.27600  1.01625e+11  4.35474e-01  1.01963e-03 
4750.0  3.5  0.0  1.60981e+11  1.39796  1.15154e+11  1.09558e+00  1.13313e+00 
5000.0  3.5  0.0  1.97642e+11  1.60102  1.23448e+11  1.14525e+00  1.07202e+00 
5250.0  3.5  0.0  2.40236e+11  1.91450  1.25482e+11  1.19580e+00  1.01648e+00 
5500.0  3.5  0.0  2.89368e+11  2.26504  1.27754e+11  1.18310e+00  1.01811e+00 
5750.0  3.5  0.0  3.45678e+11  2.52678  1.36806e+11  1.11556e+00  1.07085e+00 
6000.0  3.5  0.0  4.09831e+11  2.68032  1.52904e+11  1.06077e+00  1.11767e+00 
