   AGE            L/Lsun         Fpp            Fdp       Fhe3HE3         Fhe3he4          Fbe           Fli7p           Fbe7p         Ftotpp
   3.6174776009  0.1480507E+01  0.1232599E-10  0.3535943E+02  0.8150733E-36  0.4686815E-41  0.0000000E+00  0.5913355E-19  0.0000000E+00  0.2828754E+03
   3.6356319167  0.1477683E+01  0.1300564E-10  0.3747705E+02  0.9664881E-36  0.5611534E-41  0.0000000E+00  0.6670369E-19  0.0000000E+00  0.2998164E+03
   3.6532550456  0.1474850E+01  0.1372292E-10  0.3972190E+02  0.1146041E-35  0.6718775E-41  0.0000000E+00  0.7524362E-19  0.0000000E+00  0.3177752E+03
   3.6703353397  0.1472012E+01  0.1447766E-10  0.4209460E+02  0.1358295E-35  0.8040410E-41  0.0000000E+00  0.8484821E-19  0.0000000E+00  0.3367568E+03
   3.6868757284  0.1469182E+01  0.1527002E-10  0.4459665E+02  0.1608518E-35  0.9613562E-41  0.0000000E+00  0.9562267E-19  0.0000000E+00  0.3567732E+03
   3.7029610256  0.1466351E+01  0.1610433E-10  0.4724289E+02  0.1904263E-35  0.1149086E-40  0.0000000E+00  0.1077426E-18  0.0000000E+00  0.3779431E+03
   3.7186102340  0.1463524E+01  0.1698219E-10  0.5003959E+02  0.2253470E-35  0.1372891E-40  0.0000000E+00  0.1213643E-18  0.0000000E+00  0.4003167E+03
   3.7338728277  0.1460693E+01  0.1790721E-10  0.5299959E+02  0.2666329E-35  0.1640036E-40  0.0000000E+00  0.1366946E-18  0.0000000E+00  0.4239968E+03
   3.7487517534  0.1457852E+01  0.1888053E-10  0.5612789E+02  0.3153643E-35  0.1958390E-40  0.0000000E+00  0.1539207E-18  0.0000000E+00  0.4490231E+03
   3.7632192165  0.1455020E+01  0.1990085E-10  0.5942168E+02  0.3726427E-35  0.2336163E-40  0.0000000E+00  0.1732001E-18  0.0000000E+00  0.4753734E+03
   3.7773449141  0.1452194E+01  0.2097379E-10  0.6290054E+02  0.4401469E-35  0.2785626E-40  0.0000000E+00  0.1948392E-18  0.0000000E+00  0.5032043E+03
   3.7911723121  0.1449345E+01  0.2210403E-10  0.6658119E+02  0.5198262E-35  0.3321208E-40  0.0000000E+00  0.2191665E-18  0.0000000E+00  0.5326495E+03
   3.8046105719  0.1446518E+01  0.2328480E-10  0.7044311E+02  0.6130486E-35  0.3953763E-40  0.0000000E+00  0.2462816E-18  0.0000000E+00  0.5635449E+03
   3.8177832831  0.1443688E+01  0.2452791E-10  0.7452655E+02  0.7229045E-35  0.4706220E-40  0.0000000E+00  0.2767291E-18  0.0000000E+00  0.5962124E+03
   3.8306867439  0.1440841E+01  0.2583477E-10  0.7883798E+02  0.8521538E-35  0.5599858E-40  0.0000000E+00  0.3108661E-18  0.0000000E+00  0.6307039E+03
   3.8432622858  0.1438002E+01  0.2720033E-10  0.8336243E+02  0.1003211E-34  0.6654070E-40  0.0000000E+00  0.3488949E-18  0.0000000E+00  0.6668994E+03
   3.8555611193  0.1435175E+01  0.2863087E-10  0.8812244E+02  0.1180079E-34  0.7899920E-40  0.0000000E+00  0.3913502E-18  0.0000000E+00  0.7049795E+03
   3.8676458355  0.1432231E+01  0.3013514E-10  0.9314908E+02  0.1387878E-34  0.9377253E-40  0.0000000E+00  0.4389164E-18  0.0000000E+00  0.7451926E+03
   3.8790630063  0.1429348E+01  0.3165232E-10  0.9823998E+02  0.1621481E-34  0.1105313E-39  0.0000000E+00  0.4899618E-18  0.0000000E+00  0.7859198E+03
   3.8900879433  0.1426517E+01  0.3321291E-10  0.1034977E+03  0.1888426E-34  0.1298507E-39  0.0000000E+00  0.5457232E-18  0.0000000E+00  0.8279817E+03
   3.9009392150  0.1423677E+01  0.3484761E-10  0.1090271E+03  0.2198708E-34  0.1525023E-39  0.0000000E+00  0.6077125E-18  0.0000000E+00  0.8722167E+03
   3.9115896039  0.1420833E+01  0.3655403E-10  0.1148220E+03  0.2557989E-34  0.1789588E-39  0.0000000E+00  0.6763733E-18  0.0000000E+00  0.9185763E+03
